Country or area;UN continental region;UN statistical region;Population (1 July 2018);Population (1 July 2019);Change
Cameroon;Africa;Middle Africa;25,216,267;25,876,380;+2.62%
Canada;Americas;Northern America;37,074,562;37,411,047;+0.91%
Cape Verde;Africa;Western Africa;543,767;549,935;+1.13%
Caribbean Netherlands;Americas;Caribbean;25,711;25,979;+1.04%
Cayman Islands;Americas;Caribbean;64,174;64,948;+1.21%
Central African Republic;Africa;Middle Africa;4,666,368;4,745,185;+1.69%
Chad;Africa;Middle Africa;15,477,729;15,946,876;+3.03%
Chile;Americas;South America;18,729,160;18,952,038;+1.19%
China;Asia;Eastern Asia;1,427,647,786;1,433,783,686;+0.43%
Colombia;Americas;South America;49,661,048;50,339,443;+1.37%
Comoros;Africa;Eastern Africa;832,322;850,886;+2.23%
Congo;Africa;Middle Africa;5,244,359;5,380,508;+2.60%
Cook Islands;Oceania;Polynesia;17,518;17,548;+0.17%
Costa Rica;Americas;Central America;4,999,441;5,047,561;+0.96%
Croatia;Europe;Southern Europe;4,156,405;4,130,304;−0.63%
Cuba;Americas;Caribbean;11,338,134;11,333,483;−0.04%
Curaçao;Americas;Caribbean;162,752;163,424;+0.41%
Cyprus;Asia;Western Asia;1,170,125;1,179,551;+0.81%
Czech Republic;Europe;Eastern Europe;10,665,677;10,689,209;+0.22%
Denmark;Europe;Northern Europe;5,752,126;5,771,876;+0.34%
Djibouti;Africa;Eastern Africa;958,923;973,560;+1.53%
Dominica;Americas;Caribbean;71,625;71,808;+0.26%
Dominican Republic;Americas;Caribbean;10,627,141;10,738,958;+1.05%
DR Congo;Africa;Middle Africa;84,068,091;86,790,567;+3.24%
East Timor;Asia;South-eastern Asia;1,267,974;1,293,119;+1.98%
Ecuador;Americas;South America;17,084,358;17,373,662;+1.69%
Egypt;Africa;Northern Africa;98,423,598;100,388,073;+2.00%
El Salvador;Americas;Central America;6,420,746;6,453,553;+0.51%
Equatorial Guinea;Africa;Middle Africa;1,308,975;1,355,986;+3.59%
Eritrea;Africa;Eastern Africa;3,452,786;3,497,117;+1.28%
Estonia;Europe;Northern Europe;1,322,920;1,325,648;+0.21%
Eswatini;Africa;Southern Africa;1,136,281;1,148,130;+1.04%
Ethiopia;Africa;Eastern Africa;109,224,414;112,078,730;+2.61%
F.S. Micronesia;Oceania;Micronesia;112,640;113,815;+1.04%
Falkland Islands;Americas;South America;3,234;3,377;+4.42%
Faroe Islands;Europe;Northern Europe;48,497;48,678;+0.37%
Fiji;Oceania;Melanesia;883,483;889,953;+0.73%
Finland;Europe;Northern Europe;5,522,576;5,532,156;+0.17%
France;Europe;Western Europe;64,990,511;65,129,728;+0.21%
French Guiana;Americas;South America;275,713;282,731;+2.55%
French Polynesia;Oceania;Polynesia;277,679;279,287;+0.58%
Gabon;Africa;Middle Africa;2,119,275;2,172,579;+2.52%
Gambia;Africa;Western Africa;2,280,094;2,347,706;+2.97%
Georgia;Asia;Western Asia;4,002,942;3,996,765;−0.15%
Germany;Europe;Western Europe;83,124,418;83,517,045;+0.47%
Ghana;Africa;Western Africa;28,206,728;28,833,629;+2.22%
Gibraltar;Europe;Southern Europe;33,718;33,701;−0.05%
United Kingdom;Europe;Northern Europe;67,141,684;67,530,172;+0.58%
Greece;Europe;Southern Europe;10,522,246;10,473,455;−0.46%
Greenland;Americas;Northern America;56,564;56,672;+0.19%
Grenada;Americas;Caribbean;111,454;112,003;+0.49%
Guadeloupe;Americas;Caribbean;446,928;447,905;+0.22%
Guam;Oceania;Micronesia;165,768;167,294;+0.92%
Guatemala;Americas;Central America;17,247,849;17,581,472;+1.93%
Guernsey and  Jersey;Europe;Northern Europe;170,499;172,259;+1.03%
Guinea;Africa;Western Africa;12,414,293;12,771,246;+2.88%
Guinea-Bissau;Africa;Western Africa;1,874,303;1,920,922;+2.49%
Guyana;Americas;South America;779,006;782,766;+0.48%
Haiti;Americas;Caribbean;11,123,178;11,263,770;+1.26%
Honduras;Americas;Central America;9,587,522;9,746,117;+1.65%
Hong Kong;Asia;Eastern Asia;7,371,730;7,436,154;+0.87%
Hungary;Europe;Eastern Europe;9,707,499;9,684,679;−0.24%
Iceland;Europe;Northern Europe;336,713;339,031;+0.69%
India;Asia;Southern Asia;1,352,642,280;1,366,417,754;+1.02%
Indonesia;Asia;South-eastern Asia;267,670,543;270,625,568;+1.10%
Iran;Asia;Southern Asia;81,800,188;82,913,906;+1.36%
Iraq;Asia;Western Asia;38,433,600;39,309,783;+2.28%
Ireland;Europe;Northern Europe;4,818,690;4,882,495;+1.32%
Isle of Man;Europe;Northern Europe;84,077;84,584;+0.60%
Israel;Asia;Western Asia;8,381,516;8,519,377;+1.64%
Italy;Europe;Southern Europe;60,627,291;60,550,075;−0.13%
Ivory Coast;Africa;Western Africa;25,069,230;25,716,544;+2.58%
Jamaica;Americas;Caribbean;2,934,847;2,948,279;+0.46%
Japan;Asia;Eastern Asia;127,202,192;126,860,301;−0.27%
Jordan;Asia;Western Asia;9,965,318;10,101,694;+1.37%
Kazakhstan;Asia;Central Asia;18,319,618;18,551,427;+1.27%
Kenya;Africa;Eastern Africa;51,392,565;52,573,973;+2.30%
Kiribati;Oceania;Micronesia;115,847;117,606;+1.52%
Kuwait;Asia;Western Asia;4,137,312;4,207,083;+1.69%
Kyrgyzstan;Asia;Central Asia;6,304,030;6,415,850;+1.77%
Laos;Asia;South-eastern Asia;7,061,507;7,169,455;+1.53%
Latvia;Europe;Northern Europe;1,928,459;1,906,743;−1.13%
Lebanon;Asia;Western Asia;6,859,408;6,855,713;−0.05%
Lesotho;Africa;Southern Africa;2,108,328;2,125,268;+0.80%
Liberia;Africa;Western Africa;4,818,973;4,937,374;+2.46%
Libya;Africa;Northern Africa;6,678,559;6,777,452;+1.48%
Liechtenstein;Europe;Western Europe;37,910;38,019;+0.29%
Lithuania;Europe;Northern Europe;2,801,264;2,759,627;−1.49%
Luxembourg;Europe;Western Europe;604,245;615,729;+1.90%
Macau;Asia;Eastern Asia;631,636;640,445;+1.39%
Madagascar;Africa;Eastern Africa;26,262,313;26,969,307;+2.69%
Malawi;Africa;Eastern Africa;18,143,217;18,628,747;+2.68%
Malaysia;Asia;South-eastern Asia;31,528,033;31,949,777;+1.34%
Maldives;Asia;Southern Asia;515,696;530,953;+2.96%
Mali;Africa;Western Africa;19,077,749;19,658,031;+3.04%
Malta;Europe;Southern Europe;439,248;440,372;+0.26%
Marshall Islands;Oceania;Micronesia;58,413;58,791;+0.65%
Martinique;Americas;Caribbean;375,673;375,554;−0.03%
Mauritania;Africa;Western Africa;4,403,313;4,525,696;+2.78%
Mauritius;Africa;Eastern Africa;1,189,265;1,198,575;+0.78%
Mayotte;Africa;Eastern Africa;259,531;266,150;+2.55%
Mexico;Americas;Central America;126,190,788;127,575,529;+1.10%
Moldova;Europe;Eastern Europe;4,051,944;4,043,263;−0.21%
Monaco;Europe;Western Europe;38,682;38,964;+0.73%
Mongolia;Asia;Eastern Asia;3,170,216;3,225,167;+1.73%
Montenegro;Europe;Southern Europe;627,809;627,987;+0.03%
Montserrat;Americas;Caribbean;4,993;4,989;−0.08%
Morocco;Africa;Northern Africa;36,029,093;36,471,769;+1.23%
Mozambique;Africa;Eastern Africa;29,496,004;30,366,036;+2.95%
Myanmar;Asia;South-eastern Asia;53,708,320;54,045,420;+0.63%
Namibia;Africa;Southern Africa;2,448,301;2,494,530;+1.89%
Nauru;Oceania;Micronesia;10,670;10,756;+0.81%
Nepal;Asia;Southern Asia;28,095,714;28,608,710;+1.83%
Netherlands;Europe;Western Europe;17,059,560;17,097,130;+0.22%
New Caledonia;Oceania;Melanesia;279,993;282,750;+0.98%
New Zealand;Oceania;Australia and New Zealand;4,743,131;4,783,063;+0.84%
Nicaragua;Americas;Central America;6,465,501;6,545,502;+1.24%
Niger;Africa;Western Africa;22,442,822;23,310,715;+3.87%
Nigeria;Africa;Western Africa;195,874,683;200,963,599;+2.60%
Niue;Oceania;Polynesia;1,620;1,615;−0.31%
North Korea;Asia;Eastern Asia;25,549,604;25,666,161;+0.46%
North Macedonia;Europe;Southern Europe;2,082,957;2,083,459;+0.02%
Northern Mariana Islands;Oceania;Micronesia;56,882;56,188;−1.22%
Norway;Europe;Northern Europe;5,337,962;5,378,857;+0.77%
Oman;Asia;Western Asia;4,829,473;4,974,986;+3.01%
Pakistan;Asia;Southern Asia;212,228,286;216,565,318;+2.04%
Palau;Oceania;Micronesia;17,907;18,008;+0.56%
Palestine;Asia;Western Asia;4,862,979;4,981,420;+2.44%
Panama;Americas;Central America;4,176,869;4,246,439;+1.67%
Papua New Guinea;Oceania;Melanesia;8,606,323;8,776,109;+1.97%
Paraguay;Americas;South America;6,956,066;7,044,636;+1.27%
Peru;Americas;South America;31,989,260;32,510,453;+1.63%
Philippines;Asia;South-eastern Asia;106,651,394;108,116,615;+1.37%
Poland;Europe;Eastern Europe;37,921,592;37,887,768;−0.09%
Portugal;Europe;Southern Europe;10,256,193;10,226,187;−0.29%
Puerto Rico;Americas;Caribbean;3,039,596;2,933,408;−3.49%
Qatar;Asia;Western Asia;2,781,682;2,832,067;+1.81%
Réunion;Africa;Eastern Africa;882,526;888,927;+0.73%
Romania;Europe;Eastern Europe;19,506,114;19,364,557;−0.73%
Russia;Europe;Eastern Europe;145,734,038;145,872,256;+0.09%
Rwanda;Africa;Eastern Africa;12,301,970;12,626,950;+2.64%
Saint Helena, Ascension and Tristan da Cunha;Africa;Western Africa;6,035;6,059;+0.40%
Saint Kitts and Nevis;Americas;Caribbean;52,441;52,823;+0.73%
Saint Lucia;Americas;Caribbean;181,889;182,790;+0.50%
Saint Pierre and Miquelon;Americas;Northern America;5,849;5,822;−0.46%
Saint Vincent and the Grenadines;Americas;Caribbean;110,211;110,589;+0.34%
Samoa;Oceania;Polynesia;196,129;197,097;+0.49%
San Marino;Europe;Southern Europe;33,785;33,860;+0.22%
São Tomé and Príncipe;Africa;Middle Africa;211,028;215,056;+1.91%
Saudi Arabia;Asia;Western Asia;33,702,756;34,268,528;+1.68%
Senegal;Africa;Western Africa;15,854,323;16,296,364;+2.79%
Serbia;Europe;Southern Europe;8,802,754;8,772,235;−0.35%
Seychelles;Africa;Eastern Africa;97,096;97,739;+0.66%
Sierra Leone;Africa;Western Africa;7,650,150;7,813,215;+2.13%
Singapore;Asia;South-eastern Asia;5,757,499;5,804,337;+0.81%
Sint Maarten;Americas;Caribbean;41,940;42,388;+1.07%
Slovakia;Europe;Eastern Europe;5,453,014;5,457,013;+0.07%
Slovenia;Europe;Southern Europe;2,077,837;2,078,654;+0.04%
Solomon Islands;Oceania;Melanesia;652,857;669,823;+2.60%
Somalia;Africa;Eastern Africa;15,008,226;15,442,905;+2.90%
South Africa;Africa;Southern Africa;57,792,518;58,558,270;+1.33%
South Korea;Asia;Eastern Asia;51,171,706;51,225,308;+0.10%
South Sudan;Africa;Eastern Africa;10,975,927;11,062,113;+0.79%
Spain;Europe;Southern Europe;46,692,858;46,736,776;+0.09%
Sri Lanka;Asia;Southern Asia;21,228,763;21,323,733;+0.45%
Sudan;Africa;Northern Africa;41,801,533;42,813,238;+2.42%
Suriname;Americas;South America;575,990;581,372;+0.93%
Sweden;Europe;Northern Europe;9,971,638;10,036,379;+0.65%
Switzerland;Europe;Western Europe;8,525,611;8,591,365;+0.77%
Syria;Asia;Western Asia;16,945,057;17,070,135;+0.74%
Taiwan;Asia;Eastern Asia;23,726,460;23,773,876;+0.20%
Tajikistan;Asia;Central Asia;9,100,835;9,321,018;+2.42%
Tanzania;Africa;Eastern Africa;56,313,438;58,005,463;+3.00%
Thailand;Asia;South-eastern Asia;68,863,514;69,037,513;+0.25%
Togo;Africa;Western Africa;7,889,093;8,082,366;+2.45%
Tokelau;Oceania;Polynesia;1,319;1,340;+1.59%
Tonga;Oceania;Polynesia;110,589;110,940;+0.32%
Trinidad and Tobago;Americas;Caribbean;1,389,843;1,394,973;+0.37%
Tunisia;Africa;Northern Africa;11,565,201;11,694,719;+1.12%
Turkey;Asia;Western Asia;82,340,088;83,429,615;+1.32%
Turkmenistan;Asia;Central Asia;5,850,901;5,942,089;+1.56%
Turks and Caicos Islands;Americas;Caribbean;37,665;38,191;+1.40%
Tuvalu;Oceania;Polynesia;11,508;11,646;+1.20%
U.S. Virgin Islands;Americas;Caribbean;104,680;104,578;−0.10%
Uganda;Africa;Eastern Africa;42,729,036;44,269,594;+3.61%
Ukraine;Europe;Eastern Europe;44,246,156;43,993,638;−0.57%
United Arab Emirates;Asia;Western Asia;9,630,959;9,770,529;+1.45%
United States;Americas;Northern America;327,096,265;329,064,917;+0.60%
Uruguay;Americas;South America;3,449,285;3,461,734;+0.36%
Uzbekistan;Asia;Central Asia;32,476,244;32,981,716;+1.56%
Vanuatu;Oceania;Melanesia;292,680;299,882;+2.46%
Vatican City;Europe;Southern Europe;801;799;−0.25%
Venezuela;Americas;South America;28,887,118;28,515,829;−1.29%
Vietnam;Asia;South-eastern Asia;95,545,962;96,462,106;+0.96%
Wallis and Futuna;Oceania;Polynesia;11,661;11,432;−1.96%
Western Sahara;Africa;Northern Africa;567,402;582,463;+2.65%
Yemen;Asia;Western Asia;28,498,683;29,161,922;+2.33%
Zambia;Africa;Eastern Africa;17,351,708;17,861,030;+2.94%
Zimbabwe;Africa;Eastern Africa;14,438,802;14,645,468;+1.43%
